order_id,username,date_time,items,special_instructions,total_price,status
ORD-20250427142335-4420,customer,2025-04-27 14:23:35,"[{""id"": ""a4"", ""name"": ""Bruschetta"", ""price"": 7.99, ""special_instructions"": """"}, {""id"": ""dr3"", ""name"": ""Coffee"", ""price"": 3.49, ""special_instructions"": """"}]",,11.48,pending
ORD-20250427143224-2795,customer,2025-04-27 14:32:24,"[{""id"": ""a2"", ""name"": ""Mozzarella Sticks"", ""price"": 6.99, ""special_instructions"": """"}]",,6.99,completed
ORD-20250427143410-9080,customer,2025-04-27 14:34:10,"[{""id"": ""a4"", ""name"": ""Bruschetta"", ""price"": 7.99, ""special_instructions"": """"}]",,7.99,completed
ORD-20250427144917-6228,customer,2025-04-27 14:49:17,"[{""id"": ""a4"", ""name"": ""Bruschetta"", ""price"": 7.99, ""special_instructions"": """"}]",,7.99,completed
ORD-20250427154022-4768,customer,2025-04-27 15:40:22,"[{""id"": ""m5"", ""name"": ""Vegetable Stir Fry"", ""price"": 13.99, ""special_instructions"": """"}]",,13.99,cancelled
ORD-20250427160548-6418,customer,2025-04-27 16:05:48,"[{""id"": ""a1"", ""name"": ""Garlic Bread"", ""price"": 4.99, ""special_instructions"": """"}]",,4.99,pending
ORD-20250427160846-9159,customer,2025-04-27 16:08:46,"[{""id"": ""dr4"", ""name"": ""House Wine (Glass)"", ""price"": 7.99, ""special_instructions"": """"}, {""id"": ""dr3"", ""name"": ""Coffee"", ""price"": 3.49, ""special_instructions"": """"}]",,11.48,pending
ORD-20250427163409-0150,customer,2025-04-27 16:34:09,"[{""id"": ""d3"", ""name"": ""Cheesecake"", ""price"": 6.99, ""special_instructions"": ""No cheese?""}, {""id"": ""dr1"", ""name"": ""Soda"", ""price"": 2.49, ""special_instructions"": """"}, {""id"": ""dr3"", ""name"": ""Coffee"", ""price"": 3.49, ""special_instructions"": """"}]",No cheese?,12.97,completed
ORD-20250427165724-3317,customer,2025-04-27 16:57:24,"[{""id"": ""d3"", ""name"": ""Cheesecake"", ""price"": 6.99, ""special_instructions"": """"}, {""id"": ""dr4"", ""name"": ""House Wine (Glass)"", ""price"": 7.99, ""special_instructions"": """"}, {""id"": ""dr3"", ""name"": ""Coffee"", ""price"": 3.49, ""special_instructions"": """"}, {""id"": ""dr3"", ""name"": ""Coffee"", ""price"": 3.49, ""special_instructions"": """"}]",,21.96,completed
ORD-20250427165754-5084,customer,2025-04-27 16:57:54,"[{""id"": ""d3"", ""name"": ""Cheesecake"", ""price"": 6.99, ""special_instructions"": """"}]",,6.99,cancelled
ORD-20250427180117-8909,customer,2025-04-27 18:01:17,"[{""id"": ""a3"", ""name"": ""Soup of the Day"", ""price"": 5.99, ""special_instructions"": """"}, {""id"": ""a1"", ""name"": ""Garlic Bread"", ""price"": 4.99, ""special_instructions"": """"}]",,10.98,cancelled
